0_0000000000.png, [453, 250, 521, 355], 0.9819735288619995
1_0000000000.png, [444, 87, 519, 195], 0.9810147881507874
2_0000000000.png, [570, 274, 679, 408], 0.9805291295051575
3_0000000000.png, [429, 826, 495, 903], 0.9746583104133606
4_0000000000.png, [567, 871, 682, 1004], 0.9597811698913574
5_0000000000.png, [510, 1152, 602, 1274], 0.9536354541778564
6_0000000000.png, [375, 913, 431, 978], 0.9234855771064758
7_0000000000.png, [424, 963, 506, 1054], 0.8489129543304443
8_0000000000.png, [358, 1008, 428, 1078], 0.7970601320266724
9_0000000000.png, [466, 486, 597, 605], 0.7933194041252136
10_0000000000.png, [361, 452, 408, 474], 0.7755062580108643
11_0000000000.png, [356, 802, 423, 877], 0.7505984306335449
12_0000000000.png, [386, 124, 435, 148], 0.7451621294021606
13_0000000000.png, [520, 1036, 639, 1182], 0.7223599553108215
14_0000000000.png, [327, 876, 378, 938], 0.7166873216629028
15_0000000000.png, [365, 504, 417, 525], 0.6886509656906128
16_0000000000.png, [400, 1062, 506, 1176], 0.6196243166923523
19_0000000000.png, [339, 975, 384, 1025], 0.48401421308517456
20_0000000000.png, [524, 1035, 645, 1184], 0.4701128304004669
21_0000000000.png, [319, 942, 364, 996], 0.4565967619419098
22_0000000000.png, [519, 434, 580, 472], 0.4360033869743347
23_0000000000.png, [219, 421, 237, 441], 0.41695553064346313
24_0000000000.png, [338, 423, 378, 443], 0.4030134975910187
23_0000000001.png, [301, 777, 344, 831], 0.44102245569229126
17_0000000001.png, [697, 1169, 720, 1280], 0.6255382299423218
20_0000000002.png, [454, 487, 589, 609], 0.4903566837310791
27_0000000003.png, [327, 797, 370, 851], 0.40093299746513367
21_0000000003.png, [705, 1186, 720, 1280], 0.5009334683418274
23_0000000003.png, [528, 1043, 650, 1190], 0.4374026954174042
25_0000000003.png, [373, 509, 410, 532], 0.42484673857688904
22_0000000004.png, [502, 445, 570, 481], 0.4078013300895691
11_0000000004.png, [400, 1069, 511, 1182], 0.7378485798835754
